Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
296,Jared Dudley,LAL,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
297,Rajon Rondo,LAL,"$2,564,753 ","$2,619,605 ",,,,,,"$2,564,753 "
298,Tyson Chandler,HOU,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
299,Gerald Green,HOU,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
300,Thabo Sefolosha,HOU,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
301,Nenê Hilário,HOU,"$2,564,753 ","$2,692,991 ",,,,,Bird Rights,"$2,564,753 "
302,J.J. Barea,DAL,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
303,Wilson Chandler,BRK,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
304,Vince Carter,ATL,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
305,Dwight Howard,LAL,"$2,564,753 ",,,,,,,
306,Josh Okogie,MIN,"$2,530,680 ","$2,651,040 ","$4,087,904 ",,,,1st Round Pick,"$5,181,720 "
307,Vincent Poirier,BOS,"$2,505,793 ","$2,619,207 ",,,,,Minimum Salary,"$5,125,000 "
308,Rondae Hollis-Jefferson,TOR,"$2,500,000 ",,,,,,MLE,"$2,500,000 "
309,Brandon Clarke,MEM,"$2,478,840 ","$2,602,920 ","$2,726,880 ","$4,343,920 ",,,1st Round Pick,"$5,081,760 "
310,Terrance Ferguson,OKC,"$2,475,840 ","$3,944,013 ",,,,,1st Round Pick,"$6,419,853 "
311,Grayson Allen,MEM,"$2,429,400 ","$2,545,320 ","$4,054,695 ",,,,1st Round Pick,"$4,974,720 "
312,Grant Williams,BOS,"$2,379,840 ","$2,498,760 ","$2,617,800 ","$4,306,281 ",,,1st Round Pick,"$4,878,600 "
313,Jarrett Allen,BRK,"$2,376,840 ","$3,909,902 ",,,,,1st Round Pick,"$6,286,742 "
314,Pascal Siakam,TOR,"$2,351,839 ","$29,000,000 ","$31,320,000 ","$33,640,000 ","$35,960,000 ",,1st Round pick,"$132,271,839 "
315,Skal Labissière,POR,"$2,338,847 ",,,,,,1st Round pick,"$2,338,847 "
316,Chandler Hutchison,CHI,"$2,332,320 ","$2,443,440 ","$4,019,459 ",,,,1st Round Pick,"$4,775,760 "
317,Patrick Patterson,LAC,"$2,331,593 ",,,,,,Minimum Salary,"$2,331,593 "
318,Dejounte Murray,SAS,"$2,321,735 ","$14,285,714 ","$15,428,571 ","$16,571,429 ","$17,714,286 ",,1st Round pick,"$66,321,735 "
319,Isaiah Thomas,WAS,"$2,320,044 ",,,,,,,"$2,320,044 "
320,Alec Burks,GSW,"$2,320,044 ",,,,,,Minimum Salary,"$2,320,044 "
321,Damian Jones,ATL,"$2,305,057 ",,,,,,1st Round pick,"$2,305,057 "
322,Darius Bazley,OKC,"$2,284,800 ","$2,399,160 ","$2,513,040 ","$4,264,629 ",,,1st Round Pick,"$4,683,960 "
323,OG Anunoby,TOR,"$2,281,800 ","$3,872,215 ",,,,,1st Round Pick,"$6,154,015 "
324,Ante Žižić,CLE,"$2,281,800 ",,,,,,1st Round Pick,"$2,281,800 "
325,Monta Ellis,IND,"$2,245,400 ","$2,245,400 ","$2,245,400 ",,,,,"$6,736,200 "
326,Aaron Holiday,IND,"$2,239,200 ","$2,345,640 ","$3,980,551 ",,,,1st Round Pick,"$4,584,840 "
327,Luke Kornet,CHI,"$2,195,122 ","$2,304,878 ",,,,,Room Exception,"$4,500,000 "
328,Ty Jerome,PHO,"$2,193,480 ","$2,303,040 ","$2,412,840 ","$4,220,057 ",,,1st Round Pick,"$4,496,520 "
329,Willie Cauley-Stein,GSW,"$2,177,483 ","$2,286,357 ",,,,,MLE,"$2,177,483 "
330,Austin Rivers,HOU,"$2,174,318 ","$2,369,663 ",,,,,Minimum Salary,"$2,174,318 "
331,Carmelo Anthony,POR,"$2,159,029 ",,,,,,,
332,Anfernee Simons,POR,"$2,149,560 ","$2,252,040 ","$3,938,818 ",,,,1st Round Pick,"$4,401,600 "
333,Matt Barnes,SAC,"$2,133,541 ",,,,,,,"$2,133,541 "
334,Nassir Little,POR,"$2,105,520 ","$2,210,640 ","$2,316,240 ","$4,171,548 ",,,1st Round Pick,"$4,316,160 "
335,Torrey Craig,DEN,"$2,100,000 ",,,,,,Cap Space,"$2,100,000 "
336,Moritz Wagner,WAS,"$2,063,520 ","$2,161,920 ","$3,893,618 ",,,,1st Round Pick,"$4,225,440 "
337,Dylan Windler,CLE,"$2,035,800 ","$2,137,440 ","$2,239,200 ","$4,037,278 ",,,1st Round Pick,"$4,173,240 "
338,Caleb Swanigan,SAC,"$2,033,160 ",,,,,,1st Round Pick,"$2,033,160 "
339,Iman Shumpert,BRK,"$2,031,677 ",,,,,,,
